Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
GenGamma-exact,15,11,1e-06,104,3,100,238,65,0.273109243697479,17357,11378926,0.00152536364152469,1525.36364152469,171,11550,173,0.0145891988738162,0.497093023255814,0.0283464566929134,0.277491939163372,0.722508060836628,0,1.4582524583091,2.34258317435987,0.109695677926404,-1.19719277199153,577.405689589331,1632.18734021131
Lognormal,15,11,1e-06,104,2,100,238,3,0.0126050420168067,231,15909731,1.45194158216754e-05,14.5194158216754,3,68,235,0.0422535211267606,0.0126050420168067,0.0194174757281553,0,1,0,0.331202922880404,0.0944818209032812,0.109695677926404,-1.19719277199153,15.584419806973,331.517840354706
Weibull,15,11,1e-06,104,2,100,238,56,0.235294117647059,14018,15909731,0.000881095978304096,881.095978304096,94,4943,182,0.0186619019257495,0.340579710144928,0.0353849049501223,0,1,0,3.87240954174458,0.993792011118636,0.109695677926404,-1.19719277199153,17.9655262847126,333.777210662651
BurrXII,17,13,1e-06,120,3,100,238,6,0.0252100840336134,552,8042693,6.86337275337999e-05,68.6337275337999,6,331,232,0.0178041543026706,0.0252100840336134,0.0208695652173913,0.485958830985461,0.514041169014539,0,2.63009039273058,3.11138039557283,0.110914993410541,-1.28702635178527,570.366634817563,927.067347818285
G0,17,13,1e-06,120,3,100,238,4,0.0168067226890756,74,3414950,2.16694241496947e-05,21.6694241496947,5,46,234,0.0980392156862745,0.0209205020920502,0.0344827586206897,0.770286554804923,0.229713445195077,0,18.9559408548074,38.1239958598188,0.110914993410541,-1.28702635178527,5852.63839713634,6460.78523633006
G0-L1,17,13,1e-06,120,2,100,238,5,0.0210084033613445,66,735945,8.968061471985e-05,89.68061471985,6,54,233,0.1,0.0251046025104603,0.040133779264214,0.947860598534494,0.0521394014655064,0,8.18192122269714,12.8987674406907,0.110914993410541,-1.28702635178527,91.324439100475,450.114911361848
GenGamma,17,13,1e-06,120,3,100,238,82,0.34453781512605,37757,14937087,0.002527735160142,2527.735160142,293,23619,156,0.0122532619605219,0.652561247216036,0.0240548417552646,0.0589051988156974,0.941094801184303,0,0.851502394022464,1.81894220984931,0.110914993410541,-1.28702635178527,293.858163620553,1718.25889793921
GenGamma-exact,17,13,1e-06,120,3,100,238,76,0.319327731092437,17579,11176714,0.00157282364029356,1572.82364029356,222,11383,162,0.0191296854803964,0.578125,0.03703394778547,0.288935779098189,0.711064220901811,0,1.3680352857118,2.0803622994943,0.110914993410541,-1.28702635178527,572.390759363406,1632.5999757681
Lognormal,17,13,1e-06,120,2,100,238,7,0.0294117647058824,231,15909731,1.45194158216754e-05,14.5194158216754,8,53,231,0.131147540983607,0.0334728033472803,0.0533333333333333,0,1,0,0.333039026803427,0.088630167330607,0.110914993410541,-1.28702635178527,15.658336311199,336.158415294931
Weibull,17,13,1e-06,120,2,100,238,79,0.331932773109244,13296,15909731,0.000835714947034617,835.714947034617,140,4177,159,0.0324299281908733,0.468227424749164,0.0606585788561525,0,1,0,3.85104965893204,0.93901680346036,0.110914993410541,-1.28702635178527,18.764995023258,339.670022836267
BurrXII,21,15,1e-06,216,3,100,238,11,0.046218487394958,403,7108543,5.66923489103182e-05,56.6923489103182,15,226,227,0.0622406639004149,0.0619834710743802,0.062111801242236,0.54011633514796,0.45988366485204,0,2.87369358563195,3.84067460072403,0.11367450937977,-1.61736928637605,521.985954698612,876.444038875333
G0,21,15,1e-06,216,3,100,238,6,0.0252100840336134,99,3115260,3.17790489397354e-05,31.7790489397354,8,38,232,0.173913043478261,0.0333333333333333,0.055944055944056,0.787084379117517,0.212915620882483,0,13.8421402956552,30.4298212774307,0.11367450937977,-1.61736928637605,5770.21521916836,6358.23045766088
G0-L1,21,15,1e-06,216,2,100,238,5,0.0210084033613445,66,751799,8.77894224387104e-05,87.7894224387104,12,46,233,0.206896551724138,0.0489795918367347,0.0792079207920792,0.946522359703995,0.053477640296005,0,8.95826791674719,14.2138205519872,0.11367450937977,-1.61736928637605,91.9531925531377,451.014571348383
GenGamma,21,15,1e-06,216,3,100,238,75,0.315126050420168,47873,15139540,0.00316211721095885,3162.11721095885,293,28125,163,0.0103103666690126,0.642543859649123,0.0202950751541179,0.0462669580605213,0.953733041939479,0,0.503897774135872,1.34908612372548,0.11367450937977,-1.61736928637605,296.67553636089,1760.12060739257
