Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
Lognormal,151,109,1e-06,10920,2,60,189,40,0.211640211640212,760,37914812,2.00449365277085e-05,20.0449365277085,40,46,149,0.465116279069767,0.211640211640212,0.290909090909091,0,1,0,0.333426402739631,0.00609989824525006,0.111175097190195,-1.04516846959985,6.6401953125,275.77840625
Weibull,151,109,1e-06,10920,2,60,189,176,0.931216931216931,28190,37914812,0.000743508895679082,743.508895679082,176,6096,13,0.0280612244897959,0.931216931216931,0.0544807305370686,0,1,0,3.84664231353684,0.0683133650983136,0.111175097190195,-1.04516846959985,8.08742447916667,277.255005208333
BurrXII,11,7,1e-05,72,3,60,189,11,0.0582010582010582,879,23955606,3.6692872641168e-05,3.6692872641168,11,685,178,0.0158045977011494,0.0582010582010582,0.0248587570621469,0.3655140625,0.6344859375,0,2.68585903666822,2.71573363259371,0.104938521661552,-0.906523767223446,401.539520833333,656.212354166667
CA-CFAR,11,7,1e-05,72,0,60,189,0,0,169,37914812,4.45736088576676e-06,0.445736088576676,0,87,189,0,0,0,0,1,0,NaN,NaN,0.104938521661552,-0.906523767223446,0,228.61296875
G0,11,7,1e-05,72,3,60,189,5,0.0264550264550265,572,9221922,6.20261155971608e-05,6.20261155971608,5,394,184,0.012531328320802,0.0264550264550265,0.0170068027210884,0.751784609375,0.248215390625,0,23.3820520614964,36.9997516818164,0.104938521661552,-0.906523767223446,3617.66344010417,4064.96922395833
G0-L1,11,7,1e-05,72,2,60,189,0,0,0,8634,0,0,0,0,189,0,0,0,0.999623255208334,0.000376744791666667,0,11.7192027389917,19.5134049326716,0.104938521661552,-0.906523767223446,26.8001979166667,253.405989583333
GenGamma,11,7,1e-05,72,3,60,189,57,0.301587301587302,67526,37789598,0.00178689384311524,178.689384311524,57,56756,132,0.00100329150018482,0.301587301587302,0.00199992982702361,0.00356489583333333,0.996435104166667,0,1.42906403729865,1.98806171628167,0.104938521661552,-0.906523767223446,177.138572916667,1187.533203125
GenGamma-exact,11,7,1e-05,72,3,60,189,53,0.28042328042328,47255,35424348,0.00133396950594546,133.396950594546,53,40906,136,0.001293976903733,0.28042328042328,0.00257606688052882,0.0655454166666667,0.934454583333333,0,1.59565067981513,2.02778398743765,0.104938521661552,-0.906523767223446,459.757653645833,1405.29708072917
K,11,7,1e-05,72,2,60,189,0,0,0,8634,0,0,0,0,189,0,0,0,0.999623255208334,0.000376744791666667,0,NaN,NaN,0.104938521661552,-0.906523767223446,12.1581822916667,455.992565104167
Lognormal,11,7,1e-05,72,2,60,189,7,0.037037037037037,417,37914812,1.09983401737558e-05,1.09983401737558,7,223,182,0.0304347826086957,0.037037037037037,0.0334128878281623,0,1,0,0.323942110104476,0.0602730594877019,0.104938521661552,-0.906523767223446,6.91654427083333,229.68015625
Weibull,11,7,1e-05,72,2,60,189,96,0.507936507936508,40933,37914812,0.00107960445643249,107.960445643249,96,22550,93,0.00423915923341871,0.507936507936508,0.00840814539084738,0,1,0,3.95919569756121,0.699250557217516,0.104938521661552,-0.906523767223446,8.7406015625,231.880885416667
BurrXII,15,11,1e-05,104,3,60,189,10,0.0529100529100529,782,23065297,3.39037472615245e-05,3.39037472615245,10,538,179,0.0182481751824818,0.0529100529100529,0.0271370420624152,0.388277473958333,0.611722526041667,0,2.91500773642638,3.2837810232862,0.106784567694326,-0.946225814322558,379.166893229167,646.891481770833
CA-CFAR,15,11,1e-05,104,0,60,189,3,0.0158730158730159,287,37914812,7.56960103085834e-06,0.756960103085834,3,136,186,0.0215827338129496,0.0158730158730159,0.0182926829268293,0,1,0,NaN,NaN,0.106784567694326,-0.946225814322558,0,241.25978125
G0,15,11,1e-05,104,3,60,189,7,0.037037037037037,625,7764771,8.04917492093456e-05,8.04917492093456,7,393,182,0.0175,0.037037037037037,0.0237691001697793,0.788859010416667,0.211140989583333,0,26.6817507780678,45.4123808803809,0.106784567694326,-0.946225814322558,3463.04184114583,3893.68566666667
G0-L1,15,11,1e-05,104,2,60,189,0,0,0,8108,0,0,0,0,189,0,0,0,0.999559973958333,0.000440026041666667,0,11.3807459938127,18.1420092733577,0.106784567694326,-0.946225814322558,25.8737994791667,265.591153645833
GenGamma,15,11,1e-05,104,3,60,189,42,0.222222222222222,60304,37830402,0.00159406183418299,159.406183418299,42,50330,147,0.000833796553640912,0.222222222222222,0.00166135954589506,0.00247018229166666,0.997529817708333,0,1.31628785683209,1.56375036937835,0.106784567694326,-0.946225814322558,182.02859375,1197.98510416667
GenGamma-exact,15,11,1e-05,104,3,60,189,37,0.195767195767196,47185,35992858,0.0013109545232557,131.09545232557,37,40644,152,0.000909515498635727,0.195767195767196,0.0018106190359677,0.050591484375,0.949408515625,0,1.43004641393633,1.60797754295036,0.106784567694326,-0.946225814322558,459.4249453125,1438.34902083333
K,15,11,1e-05,104,2,60,189,0,0,0,8108,0,0,0,0,189,0,0,0,0.999559973958333,0.000440026041666667,0,NaN,NaN,0.106784567694326,-0.946225814322558,10.8574296875,249.019783854167
Lognormal,15,11,1e-05,104,2,60,189,4,0.0211640211640212,310,37914812,8.17622410998636e-06,0.817622410998636,4,153,185,0.0254777070063694,0.0211640211640212,0.023121387283237,0,1,0,0.326778938543229,0.0507669837582641,0.106784567694326,-0.946225814322558,6.86997395833333,243.316953125
Weibull,15,11,1e-05,104,2,60,189,129,0.682539682539683,37625,37914812,0.000992356232703989,99.2356232703989,129,18055,60,0.00709414870215574,0.682539682539683,0.0140423447450063,0,1,0,3.92482744786653,0.582178267563871,0.106784567694326,-0.946225814322558,8.48813020833334,245.428052083333
BurrXII,17,13,1e-05,120,3,60,189,8,0.0423280423280423,793,22782627,3.4807223943051e-05,3.4807223943051,8,505,181,0.0155945419103314,0.0423280423280423,0.0227920227920228,0.395470494791667,0.604529505208333,0,3.05994703659689,3.4035228822435,0.107254902632758,-0.963263827290802,375.404091145833,626.2482109375
CA-CFAR,17,13,1e-05,120,0,60,189,4,0.0211640211640212,323,37914812,8.51909802427611e-06,0.85190980242761,4,136,185,0.0285714285714286,0.0211640211640212,0.0243161094224924,0,1,0,NaN,NaN,0.107254902632758,-0.963263827290802,0,225.943091145833
