Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
G0,71,57,0.0001,1792,3,60,131,44,0.33587786259542,551,1934878,0.000284772476610928,2.84772476610928,44,122,87,0.265060240963855,0.33587786259542,0.296296296296296,0.771545767335814,0.228454232664186,0,7.53611253329523,14.4782365808595,0.121185042204771,-1.85872244689562,3947.72781624347,4530.65981617814
G0-L1,71,57,0.0001,1792,2,60,131,7,0.0534351145038168,39,393760,9.90451036164161e-05,0.990451036164161,7,9,124,0.4375,0.0534351145038168,0.0952380952380952,0.955288526172621,0.044711473827379,0,8.82463667216745,13.0996297166558,0.121185042204771,-1.85872244689562,59.990228150935,427.692051317499
GenGamma,71,57,0.0001,1792,3,60,131,105,0.801526717557252,68507,9241334,0.00741310724187655,74.1310724187655,105,30801,26,0.00339739856338575,0.801526717557252,0.00676611785932919,0.0139026785068269,0.986097321493173,0,0.279564251707024,0.324574456070583,0.121185042204771,-1.85872244689562,232.822365696628,1673.56384037205
GenGamma-exact,71,57,0.0001,1792,3,60,131,93,0.709923664122137,21216,5538740,0.00383047407894214,38.3047407894214,93,8167,38,0.0112590799031477,0.709923664122137,0.0221666070790132,0.393284844792669,0.606715155207331,0,0.705525437029352,0.912884031315197,0.121185042204771,-1.85872244689562,403.4807193221,1328.45576178658
K,71,57,0.0001,1792,2,60,131,11,0.083969465648855,71,393760,0.000180312880942706,1.80312880942706,11,12,120,0.478260869565217,0.083969465648855,0.142857142857143,0.955288526172621,0.044711473827379,0,NaN,NaN,0.121185042204771,-1.85872244689562,35.6935771156901,376.717940268142
Lognormal,71,57,0.0001,1792,2,60,131,49,0.374045801526718,4998,9394273,0.000532026267492971,5.32026267492971,49,172,82,0.221719457013575,0.374045801526718,0.278409090909091,0,1,0,0.348112244388126,0.0345295644679291,0.121185042204771,-1.85872244689562,10.8940513738789,349.53911386992
Weibull,71,57,0.0001,1792,2,60,131,119,0.908396946564885,18809,9394273,0.00200217728396865,20.0217728396865,119,3314,12,0.0346635595688902,0.908396946564885,0.0667789001122334,0,1,0,3.68438807791691,0.338580655412996,0.121185042204771,-1.85872244689562,14.3938379722571,353.326365923813
BurrXII,81,65,0.0001,2336,3,60,131,62,0.473282442748092,772,3807462,0.000202759738639545,2.02759738639545,62,261,69,0.191950464396285,0.473282442748092,0.273127753303965,0.571785392899295,0.428214607100705,0,2.31302085214904,1.650659331077,0.121592685794167,-1.80749071784706,378.662688024096,723.390492513051
CA-CFAR,81,65,0.0001,2336,0,60,131,59,0.450381679389313,3681,9394273,0.000391834471917092,3.91834471917092,59,167,72,0.261061946902655,0.450381679389313,0.330532212885154,0,1,0,NaN,NaN,0.121592685794167,-1.80749071784706,0,331.533394935303
G0,81,65,0.0001,2336,3,60,131,43,0.32824427480916,747,1961001,0.000380927903657367,3.80927903657367,43,123,88,0.259036144578313,0.32824427480916,0.28956228956229,0.768557956531093,0.231442043468907,0,8.12828784252615,10.1081483312403,0.121592685794167,-1.80749071784706,3925.92376688658,4484.71868589955
