Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP,Pfa_CI_Lo,Pfa_CI_Hi,Ratio_CI_Lo,Ratio_CI_Hi,CI_Width
BurrXII,31,21,1e-06,520,3,60,131,18,0.137404580152672,230,3847724,5.97755972101949e-05,59.7755972101949,18,70,113,0.204545454545455,0.137404580152672,0.164383561643836,0.573007496577924,0.426992503422076,0,2.83320274085602,3.83336369669927,0.119228652984883,-1.84515150834728,373.835057553944,692.747694373094,5.22996415306773e-05,6.80203018211978e-05,52.2996415306773,68.0203018211978,1.57206602905205e-05
CA-CFAR,31,21,1e-06,520,0,60,131,20,0.152671755725191,312,9394273,3.32117237810739e-05,33.2117237810739,20,39,111,0.338983050847458,0.152671755725191,0.210526315789474,0,1,0,NaN,NaN,0.119228652984883,-1.84515150834728,0,303.741180604554,2.96284002990763e-05,3.71089753225115e-05,29.6284002990763,37.1089753225115,7.48057502343528e-06
G0,31,21,1e-06,520,3,60,131,18,0.137404580152672,58,1757950,3.29929747717512e-05,32.9929747717512,18,12,113,0.6,0.137404580152672,0.22360248447205,0.793983070494265,0.206016929505735,0,9.81995345970197,20.2010026432719,0.119228652984883,-1.84515150834728,4131.57871742453,4667.17710378996,2.50530413256657e-05,4.26508647393781e-05,25.0530413256657,42.6508647393781,1.75978234137124e-05
G0-L1,31,21,1e-06,520,2,60,131,6,0.0458015267175573,7,348699,2.00746202312023e-05,20.0746202312023,6,6,125,0.5,0.0458015267175573,0.0839160839160839,0.959919020275529,0.0400809797244712,0,8.12737528370364,13.8491512528651,0.119228652984883,-1.84515150834728,55.7950424873631,380.633524557414,8.07107536098241e-06,4.13609498648412e-05,8.07107536098241,41.3609498648412,3.32898745038588e-05
GenGamma,31,21,1e-06,520,3,60,131,78,0.595419847328244,33146,9148065,0.0036232798958031,3623.2798958031,78,17855,53,0.00434952322533876,0.595419847328244,0.00863596102745793,0.0243752434807363,0.975624756519264,0,0.298490876377073,0.49829424560208,0.119228652984883,-1.84515150834728,207.902475822891,1600.05201111914,0.00358444685433749,0.00366242761363703,3584.44685433749,3662.42761363703,7.79807592995439e-05
GenGamma-exact,31,21,1e-06,520,3,60,131,68,0.519083969465649,12012,5761311,0.00208494212515172,2084.94212515172,68,6607,63,0.010187265917603,0.519083969465649,0.0199823684983838,0.372733122559426,0.627266877440574,0,0.560935800677921,0.900101752721699,0.119228652984883,-1.84515150834728,385.051525855403,1262.73639443735,0.00204785962123723,0.00212252644858254,2047.85962123723,2122.52644858254,7.46668273453135e-05
K,31,21,1e-06,520,2,60,131,6,0.0458015267175573,13,348699,3.72814375722328e-05,37.2814375722328,6,8,125,0.428571428571429,0.0458015267175573,0.0827586206896552,0.959919020275529,0.0400809797244712,0,NaN,NaN,0.119228652984883,-1.84515150834728,42.4360593505122,339.791522790908,1.9850939903242e-05,6.37515498707608e-05,19.850939903242,63.7515498707608,4.39006099675188e-05
Lognormal,31,21,1e-06,520,2,60,131,13,0.099236641221374,233,9394273,2.48023450031737e-05,24.8023450031737,13,25,118,0.342105263157895,0.099236641221374,0.153846153846154,0,1,0,0.345294991076904,0.0499535685833376,0.119228652984883,-1.84515150834728,10.4181288292536,304.04663150507,2.17197081606038e-05,2.81998259673548e-05,21.7197081606038,28.1998259673548,6.48011780675104e-06
Weibull,31,21,1e-06,520,2,60,131,71,0.541984732824427,8109,9394273,0.000863185474810025,863.185474810025,71,1233,60,0.0544478527607362,0.541984732824427,0.0989547038327526,0,1,0,3.71436047806714,0.515183323567496,0.119228652984883,-1.84515150834728,13.8095866686764,307.135124575472,0.000844506865200314,0.000882172800128703,844.506865200314,882.172800128703,3.76659349283894e-05
BurrXII,41,27,1e-06,952,3,60,131,29,0.221374045801527,149,3737682,3.98642795186963e-05,39.8642795186963,29,56,102,0.341176470588235,0.221374045801527,0.268518518518519,0.581679630526794,0.418320369473206,0,2.52292340687254,3.16919051181793,0.119847166304702,-1.90016669644414,357.191187360799,668.793006044004,3.37205584589038e-05,4.68035074817979e-05,33.7205584589038,46.8035074817979,1.30829490228941e-05
